time	V(a)	V(n001)
3.546571428571417e-05	-2.406315e-01	-3.485715e-01
3.575885714285699e-05	-1.089780e-01	-2.182857e-01
3.605199999999980e-05	2.056838e-02	-8.800000e-02
3.629199999999980e-05	1.251480e-01	1.866667e-02
3.653199999999980e-05	2.283868e-01	1.253333e-01
3.701199999999979e-05	4.309108e-01	3.386667e-01
3.773199999999979e-05	7.250636e-01	6.586667e-01
3.850000000000011e-05	1.026823e+00	1.000000e+00
3.883805714285695e-05	8.613256e-01	8.497524e-01
3.917611428571379e-05	6.986465e-01	6.995048e-01
3.951417142857063e-05	5.387854e-01	5.492572e-01
3.985222857142748e-05	3.817421e-01	3.990095e-01
4.019028571428432e-05	2.275168e-01	2.487619e-01
4.052834285714116e-05	7.610951e-02	9.851429e-02
4.086639999999800e-05	-7.247989e-02	-5.173333e-02
4.110639999999800e-05	-1.763940e-01	-1.584000e-01
4.158639999999800e-05	-3.802425e-01	-3.717333e-01
4.206639999999800e-05	-5.788977e-01	-5.850667e-01
4.276000000000011e-05	-8.570813e-01	-8.933333e-01
4.300000000000011e-05	-9.512039e-01	-1.000000e+00
4.329142857142868e-05	-8.095224e-01	-8.704762e-01
4.358285714285724e-05	-6.699275e-01	-7.409524e-01
4.387428571428582e-05	-5.324191e-01	-6.114286e-01
4.416571428571438e-05	-3.969971e-01	-4.819048e-01
4.445714285714295e-05	-2.636617e-01	-3.523810e-01
4.474857142857152e-05	-1.324128e-01	-2.228572e-01
4.504000000000008e-05	-3.250357e-03	-9.333333e-02
4.528000000000008e-05	1.016346e-01	1.333333e-02
4.552000000000008e-05	2.051749e-01	1.200000e-01
4.600000000000007e-05	4.082902e-01	3.333333e-01
4.672000000000007e-05	7.033019e-01	6.533333e-01
4.750000000000014e-05	1.010568e+00	1.000000e+00
4.786171428571435e-05	8.339214e-01	8.392381e-01
4.822342857142856e-05	6.604869e-01	6.784762e-01
4.858514285714278e-05	4.902640e-01	5.177143e-01
4.894685714285699e-05	3.232528e-01	3.569524e-01
4.930857142857121e-05	1.594531e-01	1.961905e-01
4.967028571428542e-05	-1.134889e-03	3.542857e-02
5.003199999999963e-05	-1.585113e-01	-1.253333e-01
5.027199999999963e-05	-2.613224e-01	-2.320000e-01
5.075199999999963e-05	-4.630072e-01	-4.453333e-01
5.147199999999962e-05	-7.559413e-01	-7.653334e-01
5.200000000000014e-05	-9.639654e-01	-1.000000e+00
5.230377142857110e-05	-8.161254e-01	-8.649905e-01
5.260754285714206e-05	-6.705535e-01	-7.299809e-01
5.291131428571302e-05	-5.272496e-01	-5.949714e-01
5.321508571428398e-05	-3.862138e-01	-4.599619e-01
5.351885714285494e-05	-2.474461e-01	-3.249524e-01
5.382262857142590e-05	-1.109463e-01	-1.899429e-01
5.412639999999686e-05	2.328535e-02	-5.493333e-02
5.436639999999686e-05	1.278301e-01	5.173333e-02
5.460639999999686e-05	2.310346e-01	1.584000e-01
5.508639999999685e-05	4.334911e-01	3.717333e-01
5.580639999999684e-05	7.275459e-01	6.917334e-01
5.650000000000015e-05	1.000553e+00	1.000000e+00
5.686000000000015e-05	8.249307e-01	8.400000e-01
5.722000000000015e-05	6.524856e-01	6.800000e-01
5.758000000000014e-05	4.832180e-01	5.200000e-01
5.794000000000014e-05	3.171280e-01	3.600000e-01
5.830000000000013e-05	1.542156e-01	2.000000e-01
5.866000000000013e-05	-5.519260e-03	4.000000e-02
5.902000000000012e-05	-1.620766e-01	-1.200000e-01
5.950000000000012e-05	-3.662899e-01	-3.333333e-01
5.998000000000011e-05	-5.655908e-01	-5.466667e-01
5.999999999999999e-05	-5.737981e-01	-5.555556e-01
