Var1,mag_dB,phase
1000,-49.1098916527818,89.7992623025715
1009.26219098705,-49.0298105365261,89.7974029997975
1018.61017015598,-48.9497294009872,89.7955264749119
1028.04473209331,-48.8696482458063,89.7936325683753
1037.56667874519,-48.7895670706178,89.7917211191696
1047.17681948552,-48.7094858750494,89.7897919647848
1056.8759711848,-48.6294046587219,89.7878449412049
1066.66495827954,-48.5493234212489,89.7858798828941
1076.54461284232,-48.4692421622369,89.7838966227823
1086.51577465254,-48.3891608812851,89.7818949922514
1096.57929126781,-48.3090795779852,89.7798748211207
1106.73601809597,-48.2289982519212,89.7778359376324
1116.98681846782,-48.1489169026697,89.7757781684367
1127.33256371049,-48.0688355297989,89.7737013385776
1137.77413322149,-47.9887541328695,89.7716052714776
1148.31241454351,-47.9086727114337,89.7694897889229
1158.94830343981,-47.8285912650354,89.7673547110477
1169.68270397038,-47.7485097932101,89.7651998563195
1180.51652856881,-47.6684282954846,89.7630250415235
1191.45069811978,-47.5883467713769,89.7608300817465
1202.48614203741,-47.5082652203961,89.7586147903619
1213.62379834424,-47.428183642042,89.7563789790131
1224.86461375093,-47.3481020358053,89.7541224575979
1236.20954373677,-47.268020401167,89.7518450342521
1247.65955263087,-47.1879387375987,89.7495465153332
1259.21561369415,-47.107857044562,89.7472267054038
1270.87870920206,-47.0277753215084,89.7448854072153
1282.64983052806,-46.9476935678793,89.7425224216905
1294.52997822792,-46.8676117831059,89.7401375479072
1306.52016212472,-46.7875299666084,89.7377305830805
1318.62140139475,-46.7074481177966,89.7353013225463
1330.83472465407,-46.6273662360691,89.7328495597428
1343.16117004602,-46.5472843208132,89.730375086194
1355.60178532937,-46.4672023714052,89.727877691491
1368.15762796747,-46.3871203872095,89.7253571632746
1380.82976521809,-46.3070383675786,89.7228132872171
1393.61927422414,-46.2269563118531,89.7202458470039
1406.52724210524,-46.1468742193614,89.7176546243148
1419.5547660501,-46.0667920894193,89.7150393988063
1432.70295340983,-45.9867099213298,89.7123999480916
1445.97292179202,-45.906627714383,89.7097360477224
1459.36579915576,-45.8265454678558,89.7070474711698
1472.8827239075,-45.7464631810117,89.7043339898044
1486.52484499786,-45.6663808531005,89.7015953728773
1500.29332201922,-45.5862984833578,89.6988313875001
1514.18932530435,-45.5062160710052,89.6960417986254
1528.21403602587,-45.4261336152498,89.6932263690262
1542.36864629663,-45.3460511152839,89.6903848592761
1556.65435927106,-45.2659685702848,89.6875170277288
1571.07238924745,-45.1858859794145,89.6846226304973
1585.62396177114,-45.1058033418192,89.681701421433
1600.3103137387,-45.0257206566297,89.6787531521051
1615.13269350309,-44.94563792296,89.675777571779
1630.09236097974,-44.8655551399081,89.672774427395
1645.19058775366,-44.7854723065551,89.6697434635469
1660.42865718753,-44.7053894219648,89.6666844224597
1675.80786453077,-44.6253064851838,89.6635970439681
1691.32951702965,-44.5452234952408,89.660481065494
1706.99493403841,-44.4651404511467,89.6573362220241
1722.80544713139,-44.3850573518937,89.6541622460872
1738.76240021625,-44.3049741964553,89.6509588677316
1754.86714964815,-44.2248909837861,89.6477258145016
1771.12106434509,-44.1448077128209,89.6444628114148
1787.52552590424,-44.0647243824751,89.641169580938
1804.08192871938,-43.9846409916435,89.6378458429639
1820.79168009946,-43.9045575392007,89.6344913147867
1837.65620038817,-43.824474024,89.6311057110787
1854.6769230847,-43.7443904448738,89.6276887438649
1871.85529496558,-43.6643068006324,89.6242401224993
1889.19277620767,-43.584223090064,89.6207595536394
1906.69084051225,-43.5041393119346,89.6172467412215
1924.35097523033,-43.4240554649868,89.6137013864351
1942.17468148903,-43.3439715479399,89.6101231876974
1960.16347431919,-43.2638875594897,89.6065118406277
1978.31888278416,-43.1838034983074,89.6028670380212
1996.64245010979,-43.1037193630395,89.5991884698224
2015.13573381556,-43.0236351523074,89.5954758230992
2033.80030584698,-42.9435508647069,89.5917287820157
2052.63775270925,-42.8634664988076,89.5879470278049
2071.64967560207,-42.7833820531525,89.5841302387423
2090.83769055575,-42.7032975262573,89.5802780901172
2110.2034285686,-42.6232129166105,89.5763902542058
2129.74853574552,-42.5431282226721,89.5724664002426
2149.47467343798,-42.4630434428736,89.5685061943924
2169.38351838518,-42.3829585756174,89.5645092997215
2189.47676285662,-42.302873619276,89.5604753761685
2209.7561147959,-42.2227885721917,89.556404080516
2230.22329796594,-42.1427034326759,89.5522950663604
2250.88005209546,-42.0626181990087,89.5481479840825
2271.72813302691,-41.9825328694382,89.5439624808174
2292.76931286565,-41.9024474421797,89.5397382004246
2314.00538013065,-41.8223619154155,89.5354747834567
2335.43813990648,-41.7422762872941,89.5311718671293
2357.06941399673,-41.6621905559293,89.5268290852896
2378.90104107889,-41.5821047194001,89.5224460683849
2400.93487686065,-41.5020187757496,89.5180224434309
2423.1727942376,-41.4219327229844,89.5135578339795
2445.61668345245,-41.3418465590744,89.5090518600871
2468.26845225569,-41.2617602819512,89.504504138281
2491.13002606779,-41.1816738895084,89.4999142815274
2514.2033481428,-41.1015873796,89.4952818991975
2537.49037973357,-41.0215007500404,89.4906065970341
2560.99310025846,-40.9414139986032,89.4858879771179
2584.71350746956,-40.8613271230206,89.4811256378329
2608.65361762255,-40.7812401209825,89.4763191738323
2632.81546564802,-40.701152990136,89.4714681760033
2657.20110532451,-40.6210657280843,89.466572231432
2681.81260945302,-40.540978332386,89.4616309233679
2706.65207003324,-40.4608908005545,89.4566438311879
2731.72159844138,-40.3808031300567,89.4516105303603
