Var1,mag_dB,phase
1000,-98.0287971721697,179.799262302572
1009.26219098705,-97.8686359758339,179.797402999798
1018.61017015598,-97.7084747602149,179.795526474912
1028.04473209331,-97.5483135249539,179.793632568375
1037.56667874519,-97.3881522696853,179.79172111917
1047.17681948552,-97.2279909940369,179.789791964785
1056.8759711848,-97.0678296976293,179.787844941205
1066.66495827954,-96.9076683800762,179.785879882894
1076.54461284232,-96.7475070409841,179.783896622782
1086.51577465254,-96.5873456799523,179.781894992251
1096.57929126781,-96.4271842965722,179.779874821121
1106.73601809597,-96.2670228904282,179.777835937632
1116.98681846782,-96.1068614610966,179.775778168437
1127.33256371049,-95.9467000081458,179.773701338578
1137.77413322149,-95.7865385311363,179.771605271478
1148.31241454351,-95.6263770296204,179.769489788923
1158.94830343981,-95.466215503142,179.767354711048
1169.68270397038,-95.3060539512366,179.76519985632
1180.51652856881,-95.145892373431,179.763025041524
1191.45069811978,-94.9857307692433,179.760830081747
1202.48614203741,-94.8255691381824,179.758614790362
1213.62379834424,-94.6654074797482,179.756378979013
1224.86461375093,-94.5052457934314,179.754122457598
1236.20954373677,-94.3450840787131,179.751845034252
1247.65955263087,-94.1849223350647,179.749546515333
1259.21561369415,-94.0247605619478,179.747226705404
1270.87870920206,-93.8645987588142,179.744885407215
1282.64983052806,-93.7044369251051,179.742522421691
1294.52997822792,-93.5442750602515,179.740137547907
1306.52016212472,-93.384113163674,179.737730583081
1318.62140139475,-93.2239512347821,179.735301322546
1330.83472465407,-93.0637892729744,179.732849559743
1343.16117004602,-92.9036272776386,179.730375086194
1355.60178532937,-92.7434652481505,179.727877691491
1368.15762796747,-92.5833031838746,179.725357163275
1380.82976521809,-92.4231410841636,179.722813287217
1393.61927422414,-92.2629789483581,179.720245847004
1406.52724210524,-92.1028167757864,179.717654624315
1419.5547660501,-91.9426545657641,179.715039398806
1432.70295340983,-91.7824923175945,179.712399948092
1445.97292179202,-91.6223300305677,179.709736047722
1459.36579915576,-91.4621677039604,179.70704747117
1472.8827239075,-91.3020053370363,179.704333989804
1486.52484499786,-91.1418429290449,179.701595372877
1500.29332201922,-90.9816804792221,179.6988313875
1514.18932530435,-90.8215179867894,179.696041798625
1528.21403602587,-90.661355450954,179.693226369026
1542.36864629663,-90.501192870908,179.690384859276
1556.65435927106,-90.3410302458288,179.687517027729
1571.07238924745,-90.1808675748784,179.684622630497
1585.62396177114,-90.0207048572031,179.681701421433
1600.3103137387,-89.8605420919334,179.678753152105
1615.13269350309,-89.7003792781837,179.675777571779
1630.09236097974,-89.5402164150518,179.672774427395
1645.19058775366,-89.3800535016186,179.669743463547
1660.42865718753,-89.2198905369482,179.66668442246
1675.80786453077,-89.0597275200872,179.663597043968
1691.32951702965,-88.8995644500642,179.660481065494
1706.99493403841,-88.73940132589,179.657336222024
1722.80544713139,-88.5792381465569,179.654162246087
1738.76240021625,-88.4190749110384,179.650958867732
1754.86714964815,-88.2589116182891,179.647725814502
1771.12106434509,-88.0987482672438,179.644462811415
1787.52552590424,-87.9385848568179,179.641169580938
1804.08192871938,-87.7784213859062,179.637845842964
1820.79168009946,-87.6182578533833,179.634491314787
1837.65620038817,-87.4580942581026,179.631105711079
1854.6769230847,-87.2979305988963,179.627688743865
1871.85529496558,-87.1377668745748,179.624240122499
1889.19277620767,-86.9776030839264,179.620759553639
1906.69084051225,-86.8174392257168,179.617246741222
1924.35097523033,-86.6572752986889,179.613701386435
1942.17468148903,-86.497111301562,179.610123187697
1960.16347431919,-86.3369472330317,179.606511840628
1978.31888278416,-86.1767830917694,179.602867038021
1996.64245010979,-86.0166188764214,179.599188469822
2015.13573381556,-85.8564545856092,179.595475823099
2033.80030584698,-85.6962902179286,179.591728782016
2052.63775270925,-85.5361257719492,179.587947027805
2071.64967560207,-85.375961246214,179.584130238742
2090.83769055575,-85.2157966392388,179.580278090117
2110.2034285686,-85.0556319495119,179.576390254206
2129.74853574552,-84.8954671754934,179.572466400243
2149.47467343798,-84.7353023156149,179.568506194392
2169.38351838518,-84.5751373682786,179.564509299721
2189.47676285662,-84.4149723318571,179.560475376169
2209.7561147959,-84.2548072046927,179.556404080516
2230.22329796594,-84.0946419850968,179.55229506636
2250.88005209546,-83.9344766713496,179.548147984083
2271.72813302691,-83.774311261699,179.543962480817
2292.76931286565,-83.6141457543604,179.539738200425
2314.00538013065,-83.4539801475161,179.535474783457
2335.43813990648,-83.2938144393146,179.531171867129
2357.06941399673,-83.1336486278697,179.52682908529
2378.90104107889,-82.9734827112604,179.522446068385
2400.93487686065,-82.8133166875298,179.518022443431
2423.1727942376,-82.6531505546846,179.51355783398
2445.61668345245,-82.4929843106945,179.509051860087
2468.26845225569,-82.3328179534912,179.504504138281
2491.13002606779,-82.1726514809683,179.499914281527
2514.2033481428,-82.0124848909799,179.495281899197
2537.49037973357,-81.8523181813402,179.490606597034
2560.99310025846,-81.6921513498229,179.485887977118
2584.71350746956,-81.5319843941602,179.481125637833
2608.65361762255,-81.371817312042,179.476319173832
2632.81546564802,-81.2116501011154,179.471468176003
2657.20110532451,-81.0514827589836,179.466572231432
2681.81260945302,-80.8913152832053,179.461630923368
2706.65207003324,-80.7311476712938,179.456643831188
2731.72159844138,-80.5709799207158,179.45161053036
2757.02332560958,-80.4108120288915,179.446530592408
2782.55940220713,-80.2506439931925,179.441403584872
2808.33199882317,-80.0904758109418,179.436229071273
2834.34330615131,-79.9303074794126,179.431006611076
2860.59553517574,-79.7701389958274,179.425735759649
2887.09091735923,-79.6099703573568,179.420416068229
2913.83170483279,-79.449801561119,179.415047083879
2940.82017058706,-79.2896326041785,179.409628349451
2968.0586086656,-79.1294634835452,179.404159403548
2995.54933435981,-78.9692941961734,179.398639780479
3023.29468440578,-78.8091247389607,179.393069010227
3051.29701718287,-78.648955108747,179.3874466184
3079.55871291423,-78.4887853023135,179.381772126194
3108.08217386906,-78.3286153163814,179.376045050354
3136.86982456688,-78.1684451476109,179.370264903128
3165.92411198352,-78.0082747926002,179.364431192225
3195.24750575921,-77.8481042478842,179.358543420775
3224.84249840844,-77.6879335099332,179.352601087285
3254.71160553185,-77.527762575152,179.346603685595
3284.85736603004,-77.3675914398785,179.340550704835
3315.28234231942,-77.2074201003824,179.33444162938
3345.98912054997,-77.047248552864,179.328275938804
3376.98031082509,-76.8870767934531,179.32205310784
3408.25854742345,-76.7269048182073,179.315772606328
3439.82648902292,-76.5667326231111,179.309433899172
3471.68681892656,-76.4065602040741,179.303036446296
3503.84224529068,-76.2463875569299,179.296579702591
3536.29550135504,-76.0862146774347,179.290063117875
3569.04934567523,-75.9260415612656,179.283486136838
3602.10656235707,-75.7658682040194,179.276848198999
3635.46996129332,-75.6056946012109,179.270148738657
3669.14237840249,-75.4455207482717,179.263387184836
3703.12667586993,-75.2853466405482,179.256562961244
3737.42574239106,-75.1251722733004,179.249675486215
3772.042493417,-74.9649976417002,179.242724172664
3806.97987140228,-74.8048227408293,179.235708428032
3842.24084605506,-74.6446475656785,179.228627654238
3877.82841458946,-74.4844721111451,179.221481247621
3913.74560198038,-74.3242963720316,179.214268598896
3949.99546122064,-74.1641203430438,179.20698909309
3986.58107358044,-74.0039440187891,179.1996421095
4023.50554886929,-73.8437673937745,179.192227021628
4060.77202570037,-73.683590462405,179.184743197135
4098.38367175726,-73.5234132189815,179.177189997779
4136.34368406327,-73.3632356576989,179.169566779362
4174.65528925313,-73.2030577726442,179.161872891677
4213.32174384729,-73.0428795577943,179.154107678442
4252.34633452868,-72.8827010070144,179.146270477253
4291.73237842216,-72.7225221140554,179.138360619518
4331.4832233764,-72.5623428725519,179.130377430401
4371.6022482485,-72.4021632760205,179.122320228766
4412.09286319119,-72.2419833178568,179.114188327109
4452.95850994265,-72.0818029913341,179.105981031508
4494.20266211914,-71.9216222896002,179.097697641554
4535.82882551019,-71.7614412056757,179.08933745029
4577.84053837662,-71.6012597324515,179.080899744154
4620.24137175131,-71.4410778626862,179.072383802911
4663.03492974273,-71.2808955890037,179.063788899591
4706.22484984128,-71.1207129038911,179.055114300425
4749.8148032285,-70.9605297996954,179.046359264782
4793.80849508911,-70.8003462686216,179.037523045099
4838.20966492596,-70.6401623027297,179.02860488682
4883.02208687788,-70.4799778939322,179.019604028325
4928.24957004051,-70.3197930339911,179.010519700865
4973.89595879006,-70.1596077145154,179.001351128492
5019.96513311008,-69.999421926958,178.992097527995
5066.46100892127,-69.839235662613,178.982758108822
5113.38753841433,-69.6790489126128,178.973332073017
5160.74871038591,-69.5188616679246,178.963818615147
5208.54855057766,-69.3586739193481,178.954216922229
5256.79112201842,-69.1984856575119,178.944526173659
5305.48052536957,-69.0382968728702,178.934745541136
5354.62089927361,-68.8781075557,178.924874188595
5404.21642070591,-68.7179176960977,178.914911272123
5454.27130532984,-68.5577272839752,178.904855939891
5504.78980785497,-68.3975363090575,178.894707332075
5555.77622239888,-68.2373447608782,178.884464580777
5607.23488285203,-68.0771526287765,178.874126809951
5659.17016324624,-67.9169599018938,178.863693135323
5711.58647812644,-67.7567665691692,178.853162664311
5764.48828292587,-67.5965726193368,178.842534495942
5817.88007434494,-67.4363780409209,178.831807720779
5871.76639073326,-67.2761828222328,178.820981420831
5926.15181247555,-67.1159869513668,178.810054669473
5981.04096238094,-66.9557904161956,178.799026531363
6036.43850607586,-66.7955932043669,178.787896062357
6092.34915240071,-66.6353953032987,178.776662309425
6148.77765381002,-66.4751967001755,178.765324310562
6205.7288067765,-66.3149973819435,178.753881094701
6263.20745219869,-66.1547973353065,178.742331681628
6321.21847581245,-65.9945965467212,178.730675081889
6379.76680860628,-65.834395002393,178.718910296704
6438.85742724042,-65.6741926882708,178.707036317871
6498.49535446989,-65.5139895900426,178.69505212768
6558.68565957144,-65.3537856931305,178.682956698814
6619.43345877439,-65.1935809826862,178.670748994259
6680.74391569562,-65.0333754435851,178.658427967208
6742.62224177834,-64.8731690604222,178.645992560965
6805.07369673521,-64.712961817506,178.633441708849
6868.10358899531,-64.552753698854,178.620774334093
6931.71727615541,-64.3925446881867,178.607989349747
6995.92016543537,-64.2323347689223,178.595085658579
7060.71771413777,-64.0721239241713,178.58206215297
7126.11543011175,-63.9119121367304,178.568917714817
7192.11887222119,-63.7516993890771,178.555651215423
7258.73365081725,-63.5914856633634,178.542261515398
7325.96542821523,-63.4312709414101,178.528747464548
